name,longitude,latitude,price,streetAddress,postcode,house_type
Great renovated 1br - no fee,-73.932813,40.686763,"$1,675 ",MADISON ST.,11221,Apartment
Enormous Duplex with Private backyard! Free rent!,-73.934913,40.79668,"$2,680 ",117th street,10035,Apartment
Great 2br 1bth - next to Graham L - heat &hot water incl -hurry !,-73.938805,40.713876,"$2,250 ",devoe street,11211,Apartment
🔴Renovated 4br duplex - skylights - no fee🔴,-73.913361,40.69597,"$2,299 ",Woodbine Street,11237,Apartment
Great spacious 4br - lots of light - close to C train - no fee,-73.921901,40.676131,"$2,199 ",PACIFIC ST.,11233,Apartment
Lebron James likes this apartment,-73.953787,40.664514,"$1,850 ",Rogers Ave.,11225,Apartment
***Spacious 1 Bedroom Ground Floor***,-73.9221,40.8662,"$1,995 ",,10034,Apartment
Great 2br 1bth - next to Graham L - heat &hot water incl -hurry !,-73.938805,40.713876,"$2,250 ",devoe street,11211,Apartment
Best Deal in Town!!!,-73.995675,40.689101,"$1,675 ",147 Amity Street,11249,Apartment
Furnished Home in the country on the Brandywine,-75.70713,39.927642,"$2,400 ",410 Brandywine Drive,19375,Apartment
Great 2br 1bth - next to Graham L - heat &hot water incl -hurry !,-73.938805,40.713876,"$2,250 ",devoe street,11211,Apartment
High ceiling apt for rent by owner,-73.957904,40.708427,"$1,790 ",297 broadway,11211,Apartment
Williamsburg!  In front of train stop!By Owner 2 bedroom,-73.957904,40.708427,"$1,950 ",297 BROADWAY,11211,Apartment
Amazing 4 Bed in Great Bed-Stuy Location | Video Inside,-73.941979,40.687163,"$2,412 ",Gates,11216,Apartment
GUT RENOVATED 1 BR W/LAUNDRY IN BUILDING - 1/2/3 & A/B/C/D TRAINS,-73.9507,40.8246,"$1,900 ",,10031,Apartment
Proper Design. Smartly Prices. Ready For Move In!,-73.4358,41.1222,"$1,995 ",32 Prospect Street,6850,Apartment
APARTMENT FOR RENT,-73.766134,40.71862,"$2,700 ",15-12 201st Street,11423,Apartment
SUPER MINT TWO BEDROOM ** NO BROKER FEES ** EMPTY & READY FOR MOVE IN,-73.9149,40.7627,"$1,995 ",,11103,Apartment
NO FEE - MUST SEE! High End 3 BR Apartment Available Now!,-73.930004,40.70169,"$2,750 ",250 Melrose St,11247,Apartment
SUPER MINT ONE BED + PETS OK + BACKYARD,-73.9149,40.7627,"$1,800 ",,11103,Apartment
"Big 2br w/ dishwasher, rooms on opposite sides+large living room",-73.952837,40.671876,"$2,195 ",763 St John's Pl,11225,Apartment
SUPER MINT STUDIO + PETS OK + LAUNDY + BACKYARD,-73.9149,40.7627,"$1,650 ",,11103,Apartment
*No Fee & 2 Months Free* 3 Bed 2 Bath w/ Laundry in Unit *Astoria* Nea,-73.90636,40.77347,"$2,962.00 ",21-81 38TH ST.,11105,Apartment
Prime Bed-Stuy 3 Bed Duplex Priced to Move! Video Inside,-73.942516,40.687196,"$2,084 ",Gates,11216,Apartment
NOW OFFERING ONE MONTH FREE<-------------------------------,-73.5435,41.0888,"$1,830 ",,6905,Apartment
Luxury 4 Bedroom Apartment in Williamsburg,-73.942763,40.713216,"$4,650 ",280 Ainslie Street,11211,Apartment
1BED/1BATH AT PROSPECT PARK --1 PARKING SPOT INCLUDED*****************,-73.539,41.0531,"$1,750 ",,6904,Apartment
***Huge 2 Bedroom Near Ft. Tryon Park***,-73.9221,40.8662,"$2,296 ",,10034,Apartment
4 Bed 2 bath on Broadwayyyyyyy $3713,-73.9507,40.8246,"$3,713 ",,10031,Apartment
"FLEXIBLE LEASE TERMS ________$20 FOR HEAT, WATER, GAS & TRASH REMOVAL",-73.5435,41.0888,"$1,830 ",,6905,Apartment
***Large 1 Bedroom Near Ft. Tryon Park***,-73.9221,40.8662,"$1,708 ",,10034,Apartment
"$2,1oo  2Bed 1Bath Building",-73.924011,40.74052,$2 ,,11104,Apartment
417 East 81st St #2C Beautiful Studio BRICK fireplace SEPERATE kitchen,-73.950412,40.773229,"$1,750 ",81st,10028,Apartment
3BR in the hart of Crown Heights Huge !!!❤🐱‍🐉🐱‍👓❤👌🎁,-73.950001,40.675204,"$2,350 ",st marks st,11216,Apartment
1br - no fee Cozy bright 1 bedroom w fireplace in Quiet Townhouse,-73.97687,40.792077,"$2,250 ",West 92 St.,10024,Apartment
Brand New Building Massive Studio!! Crown Heights !!!❤🐱‍👓🐱‍�?-73.947146,40.675944,"$2,000 ",bergen street,11216,Apartment,
"NICE 1BED WITH BALCONY, PARKING.CLOSE NYPQ/MAIN ST.SMALL PET OK",-73.8226,40.7536,"$1,650 ",137 ST,11355,Apartment
Brand New Building With lots of lots of light !!Studio Bedstuy❤🐱‍🐉�?-73.949715,40.68107,"$1,999 ",macon street,11216,Apartment,
